distance_km,prep_time_min,traffic_level,rain,delivery_min
7.3,14,1,1,51.1
8.33,23,3,0,59.8
5.03,27,2,0,50.0
4.16,15,3,0,39.0
6.3,13,3,0,42.7
10.56,20,2,0,60.8
10.29,20,2,0,59.2
1.0,15,1,0,21.8
2.59,20,1,1,36.9
3.22,28,2,0,49.5
3.37,17,3,0,42.2
7.07,10,2,0,45.4
5.29,14,2,1,47.5
1.07,15,1,0,27.0
4.8,8,2,0,34.0
6.52,9,2,1,40.8
1.67,22,3,0,37.6
10.08,13,3,1,65.8
1.1,29,2,0,34.2
11.14,11,3,0,59.8
1.64,7,2,0,22.3
10.2,24,3,1,75.1
10.88,27,2,0,67.6
11.77,12,1,0,56.1
9.72,10,2,0,52.6
9.46,10,1,0,45.9
7.89,18,1,0,46.9
9.46,17,3,0,56.0
2.05,11,3,0,26.6
6.66,6,1,0,35.1
6.41,17,3,0,50.3
10.36,29,1,0,64.2
5.82,21,1,0,45.8
4.93,17,3,0,48.9
7.85,8,1,0,37.2
3.56,11,3,0,35.9
2.11,12,3,0,34.1
6.0,24,1,0,50.7
5.29,27,1,0,47.8
3.17,28,3,0,49.4
4.73,30,2,0,47.6
4.71,30,2,1,51.8
4.27,29,2,0,48.5
4.86,7,2,1,36.8
8.39,8,3,0,49.2
3.91,13,2,0,34.7
11.41,19,1,0,61.9
11.04,7,2,1,57.8
6.03,26,3,0,48.1
4.28,20,1,0,37.7
6.66,19,2,0,45.6
10.26,9,3,0,56.4
8.0,11,2,0,46.1
9.75,9,1,0,45.6
6.63,26,1,0,49.6
7.78,20,2,1,53.2
3.81,23,2,0,39.9
8.95,12,3,0,55.9
2.83,14,2,1,36.2
8.49,15,3,0,50.6
10.4,24,1,0,59.7
2.02,24,2,0,39.1
7.57,10,1,0,40.1
1.59,29,2,0,33.3
8.85,8,1,0,44.6
1.47,27,2,1,37.9
11.26,8,2,0,55.3
2.08,12,1,0,22.2
11.53,26,1,0,59.9
9.71,9,2,0,49.2
7.33,15,3,1,56.1
9.5,16,1,0,48.4
9.64,11,2,0,52.9
11.38,23,1,0,59.3
3.41,26,3,0,48.5
7.29,27,2,0,55.3
1.59,13,3,1,35.7
7.59,18,1,0,43.3
2.47,11,1,1,26.4
7.0,11,2,0,44.0
7.08,9,2,1,46.8
5.86,29,3,1,55.2
6.51,27,3,1,60.5
9.29,24,3,0,60.7
9.69,18,2,0,60.1
6.16,17,2,0,40.3
7.4,18,2,0,45.4
11.21,18,1,0,59.4
1.88,16,2,1,39.5
1.85,8,2,1,29.0
1.51,8,1,0,18.5
8.07,29,1,0,55.6
5.31,17,2,1,41.6
9.4,29,2,1,63.2
8.22,9,3,0,49.2
4.34,19,2,0,44.1
10.83,10,3,1,63.1
9.27,11,2,0,50.5
3.61,6,1,0,28.1
4.69,8,1,1,40.7
4.12,28,3,1,53.6
2.31,13,2,1,35.5
2.2,20,1,1,40.1
11.27,17,2,0,56.6
5.54,15,3,0,48.1
4.91,18,2,0,38.8
8.89,10,1,0,44.5
6.86,30,1,0,50.4
11.27,25,3,0,67.4
9.47,24,3,0,61.1
6.01,17,3,0,49.0
4.83,9,3,0,41.9
11.85,28,1,0,64.8
8.75,14,1,0,46.6
11.44,6,1,0,51.0
1.86,14,1,1,28.1
10.28,25,3,0,68.6
7.83,21,3,0,58.6
1.9,24,1,1,43.7
7.26,25,3,0,56.4
8.39,10,2,0,45.8
0.64,28,1,0,32.3
5.72,16,3,0,48.8
9.99,21,3,0,61.9
3.9,5,2,0,28.7
5.77,30,3,0,57.3
5.59,12,2,0,37.5
3.97,7,3,0,34.4
11.06,16,2,0,59.3
9.48,8,3,1,61.2
1.77,9,1,0,20.0
11.97,21,1,0,56.4
10.61,15,3,0,56.4
3.76,28,1,0,36.9
10.12,13,1,0,46.7
1.72,23,3,1,44.0
11.99,17,1,1,60.9
8.16,21,2,0,51.6
7.98,20,1,0,46.0
1.54,17,1,1,30.4
10.82,29,3,0,74.3
0.83,14,1,0,23.5
3.27,9,1,0,26.2
2.14,22,3,0,38.4
9.43,26,3,0,63.6
2.78,6,1,0,23.5
10.97,16,3,1,70.0
8.05,27,2,0,54.6
0.92,24,3,0,37.1
0.56,30,1,0,26.4
1.09,18,3,0,34.2
7.47,21,2,0,53.1
9.72,13,3,0,56.5
3.24,29,2,0,47.8
10.27,14,3,0,57.3
1.16,23,2,0,33.5
9.71,15,1,0,50.0
11.17,19,3,0,65.3
9.38,23,3,0,62.3
8.53,18,1,1,54.1
10.14,28,2,1,71.7
0.96,15,2,0,30.6
2.82,21,2,0,36.8
1.94,14,3,0,35.8
6.3,15,3,0,46.1
9.07,16,1,0,50.6
7.75,8,3,0,45.9
10.29,7,2,0,53.6
2.28,22,3,0,45.5
8.95,21,3,0,59.7
2.72,22,2,0,31.7
3.61,5,2,1,33.0
8.66,13,2,1,58.3
11.77,10,3,0,63.0
7.53,24,2,1,59.5
1.13,27,1,0,33.8
7.59,11,2,1,51.8
0.99,22,1,1,36.1
10.67,8,2,0,55.0
8.66,12,1,1,54.2
2.49,8,1,1,29.5
1.55,12,3,1,39.0
2.61,22,1,1,37.3
11.77,28,2,0,67.6
5.77,10,3,0,47.3
9.52,19,3,1,66.5
7.82,23,2,0,55.6
7.08,29,1,0,51.3
2.17,20,3,0,36.9
11.38,11,3,0,61.1
3.97,21,2,0,43.9
7.15,13,1,0,42.2
8.55,29,1,0,51.3
7.97,15,1,0,44.1
11.32,22,1,1,69.5
2.21,6,3,0,28.8
6.35,15,1,0,35.1
5.15,27,1,0,48.4
5.95,20,3,1,57.3
1.87,16,3,0,34.6
2.04,28,1,0,33.8
3.7,26,2,0,45.5
4.0,13,2,0,33.9
5.42,19,2,0,46.4
7.53,17,3,1,59.8
7.8,21,3,0,57.0
5.24,13,3,0,43.7
5.2,11,1,1,38.5
3.0,28,1,0,40.3
7.27,28,2,1,58.5
4.15,26,1,0,35.9
0.91,29,2,0,37.6
5.31,24,1,1,49.3
5.95,24,3,0,53.8
3.09,24,1,0,36.4
7.08,17,1,1,47.9
7.01,16,1,0,44.3
8.57,11,1,0,43.8
7.95,21,2,0,51.5
8.0,12,2,0,46.2
4.14,11,3,0,43.6
9.56,20,1,0,48.5
6.82,15,2,1,52.0
5.46,10,2,0,33.6
7.7,25,2,0,54.2
4.65,27,3,1,55.0
6.4,9,1,0,30.7
8.97,5,2,1,51.9
10.69,13,3,0,59.2
11.09,25,3,1,69.5
6.29,26,2,0,52.9
6.48,8,2,0,43.3
9.7,24,3,1,73.5
4.12,8,2,0,33.3
10.13,15,3,0,59.9
6.18,30,1,0,52.2
1.83,10,2,0,30.8
1.33,9,1,0,23.0
10.18,16,1,0,49.8
1.14,20,2,0,31.4
3.73,28,1,0,41.1
4.34,30,2,0,42.8
2.49,7,2,0,27.8
4.11,8,2,0,38.0
9.04,25,3,0,64.5
0.67,12,3,0,32.2
10.01,27,2,0,63.4
10.35,22,1,0,56.4
4.78,8,3,0,39.6
2.27,26,1,0,32.1
7.41,9,2,0,40.8
1.88,16,2,0,33.8
4.7,19,1,0,40.6
11.52,18,2,1,64.8
11.95,22,1,0,64.0
9.38,21,1,0,52.7
4.08,30,2,0,47.4
8.41,30,1,0,56.9
8.61,18,3,0,59.5
4.96,7,1,0,30.3
7.87,23,2,0,57.3
0.62,29,3,0,40.1
2.9,13,1,1,34.7
6.54,17,3,1,53.3
2.38,16,3,0,41.8
2.41,6,3,0,31.1
10.12,22,1,1,63.2
11.88,14,3,0,60.5
6.89,25,3,1,59.7
10.15,26,3,0,70.1
11.89,26,1,1,70.2
2.13,15,3,1,35.7
5.65,13,1,0,38.8
5.01,24,2,0,44.2
1.42,25,2,0,38.6
9.19,17,2,0,53.7
5.49,27,2,0,49.5
5.9,9,1,1,42.8
2.23,27,2,0,36.6
2.58,7,3,0,28.7
10.93,9,2,1,59.1
1.01,18,1,0,27.1
3.18,7,3,0,29.7
3.86,6,1,1,27.4
6.14,5,2,0,38.7
7.24,16,2,0,45.7
6.17,24,2,0,48.1
1.47,6,3,1,27.9
3.3,21,2,0,36.6
10.2,26,3,0,67.1
7.83,9,1,0,42.6
7.97,9,3,0,47.2
8.21,27,2,1,67.0
9.27,26,1,0,54.1
1.17,18,1,1,29.3
4.72,25,3,0,53.3
6.7,7,2,0,40.2
4.39,15,2,1,41.9
10.21,23,1,0,56.4
6.05,11,2,0,43.7
9.34,24,3,1,72.3
10.3,18,1,0,51.8
6.31,24,2,0,49.5
10.96,17,2,1,65.2
7.25,14,3,0,47.7
10.28,10,1,0,48.4
4.42,10,2,0,34.6
6.24,24,3,0,56.4
6.61,8,1,0,38.9
1.71,7,3,0,27.6
5.08,9,3,0,39.7
11.05,9,3,0,60.4
7.75,26,2,0,53.9
2.54,15,3,0,37.7
4.4,30,3,0,51.5
2.7,8,3,0,29.7
0.79,21,2,0,28.1
11.17,16,2,0,63.0
5.65,15,2,1,46.8
4.04,27,1,0,44.4
7.38,29,3,0,59.0
0.58,27,3,1,44.2
3.7,10,2,0,38.4
8.58,11,1,0,41.3
7.79,21,2,0,47.5
11.79,12,2,0,62.0
7.63,23,2,0,50.9
